name,train_volumes,source
left rectus abdominis,1,table10_train
left rectus femoris,1,table10_train
left rectus femoris muscle,78,table10_train
left renal artery,171,table10_train
left renal vein,1,table10_train
left rostral anterior cingulate,10,table10_train
left rostral middle frontal,10,table10_train
left sacral veins,1,table10_train
left sartorius,1,table10_train
left sartorius muscle,78,table10_train
left scapula,3974,table10_train
left semimembranosus,1,table10_train
left semimembranosus muscle,78,table10_train
left semitendinosus,1,table10_train
left semitendinosus muscle,78,table10_train
left soleus muscle,78,table10_train
left spinalis thoracis,1,table10_train
left subclavian artery,1931,table10_train
left subclavian artery false lumen,120,table10_train
left submandibular gland,3586,table10_train+table7_test
left superficial temporal artery,25,table10_train
left superior cerebellar artery,51,table10_train
left superior frontal,10,table10_train
left superior gemellus muscle,78,table10_train
left superior gluteal artery,1,table10_train
left superior gluteal vein,1,table10_train
left superior parietal,10,table10_train
left superior temporal,10,table10_train
left supramarginal gyrus,10,table10_train
left talus bone,78,table10_train
left talus cartilage,78,table10_train
left tarsal,1597,table10_train
left temporal lobe,120,table10_train
left temporal lobes,50,table10_train
left temporal pole,10,table10_train
left temporomandibular joint,170,table10_train
left tensor fascia lata,1,table10_train
left tensor fasciae latae muscle,78,table10_train
left thalamus,3654,table10_train
left thyroid,2226,table10_train
left tibia,1597,table10_train
left tibia bone,78,table10_train
left tibia distal cartilage,78,table10_train
left tibia lateral cartilage,78,table10_train
left tibia medial cartilage,78,table10_train
left tibialis anterior muscle,78,table10_train
left tibialis posterior muscle,78,table10_train
left toes,1597,table10_train
left transverse temporal,10,table10_train
left transversus abdominis,1,table10_train
left tympanic cavity,120,table10_train
left ulna,1597,table10_train
left unknown cortex,10,table10_train
left ureter,1,table10_train
left vastus intermedius,1,table10_train
left vastus intermedius muscle,78,table10_train
left vastus lateralis,1,table10_train
left vastus lateralis muscle,78,table10_train
left vastus medialis muscle,78,table10_train
left ventral dc,3644,table10_train
left ventral diencephalon,10,table10_train
left ventricle,703,table10_train+table7_test
left ventricle wall,3234,table10_train
left ventricular cavity,2503,table10_train
left ventricular myocardium,849,table10_train
left vertebral artery,50,table10_train
left vestibular semicircular canal,120,table10_train
lesion,1093,table10_train+table7_test
lingual canal,532,table10_train
lips,3419,table10_train+table7_test
liver,8669,table10_train+table7_test
liver cancer,131,table10_train
liver cyst,20,table10_train
liver lesion,4469,table10_train
liver segment 1,243,table10_train
liver segment 2,243,table10_train
liver segment 3,243,table10_train
liver segment 4,193,table10_train
liver segment 4a,50,table10_train
liver segment 4b,50,table10_train
liver segment 5,243,table10_train
liver segment 6,243,table10_train
liver segment 7,243,table10_train
liver segment 8,243,table10_train
liver tumor,114,table10_train
liver without tumor or vessels,20,table10_train
lower jawbone,532,table10_train
lower left canine,532,table10_train
lower left canine pulp,532,table10_train
lower left central incisor,532,table10_train
lower left central incisor pulp,532,table10_train
lower left first molar,532,table10_train
lower left first molar pulp,532,table10_train
lower left first premolar,532,table10_train
lower left first premolar pulp,532,table10_train
lower left lateral incisor,532,table10_train
lower left lateral incisor pulp,532,table10_train
lower left second molar,532,table10_train
lower left second molar pulp,532,table10_train
lower left second premolar,532,table10_train
lower left second premolar pulp,532,table10_train
lower right canine,532,table10_train
lower right canine pulp,532,table10_train
lower right central incisor,532,table10_train
lower right central incisor pulp,532,table10_train
lower right first molar,532,table10_train
lower right first molar pulp,532,table10_train
lower right first premolar,532,table10_train
lower right first premolar pulp,532,table10_train
lower right lateral incisor,532,table10_train
lower right lateral incisor pulp,532,table10_train
lower right second molar,532,table10_train
lower right second molar pulp,532,table10_train
lower right second premolar,532,table10_train
lower right second premolar pulp,532,table10_train
lung,3427,table10_train+table7_test
lung lesion,1075,table10_train
lung nodule,481,table10_train
lung tumor,113,table10_train
malignant melanoma tumor,670,table10_train
mandible,3466,table10_train+table7_test
mediastinal lymph node,393,table10_train
mediastinal lymph nodes,192,table10_train
mediastinal tissue,533,table10_train
metal,20,table10_train
metastasectomy site,20,table10_train
middle colic vein,1,table10_train
middle hepatic vein,1,table10_train
middle sacral artery,1,table10_train
middle sacral vein,1,table10_train
middle temporal vein,1,table10_train
mitral valve,27,table10_train
multiple sclerosis lesion,366,table10_train
municating artery,300,table10_train
muscles,533,table10_train
myocardial infarction,100,table10_train
myocardium,700,table10_train
nasal cavity,533,table10_train
nasopharynx cancer,50,table10_train
nd left rib,4108,table10_train
nd right rib,4108,table10_train
necrosis/non-enhancing tumor core,2183,table10_train
necrotic tumor,294,table10_train
no reflow,100,table10_train
non-enhancing tumor core,1943,table10_train
non-small cell lung cancer,78,table10_train
nonenhancing tumor,261,table10_train
optic nerve,400,table10_train
oral cavity,204,table10_train
orbital fat,400,table10_train
pancreas,7934,table10_train+table7_test
pancreas parenchyma,482,table10_train
pancreas tumor,423,table10_train+table7_test
