Model,Omics,Subtype,F1,N
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.9632564386838369,256
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.938537029006128,88
CONCH (ABMIL),Pathomics,Wound Healing,0.8766961398554154,198
CONCH (ABMIL),Pathomics,Inflammatory,0.7426097028087078,282
FMCIB+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.9258940022358282,256
FMCIB+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.9192730290769506,88
FMCIB+CHIEF (MEAN),Radiopathomics,Wound Healing,0.8387882791034142,198
FMCIB+CHIEF (MEAN),Radiopathomics,Inflammatory,0.7111111111111111,282
pyradiomics+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.957182943482666,256
pyradiomics+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.9752711340946636,88
pyradiomics+CONCH (MEAN),Radiopathomics,Wound Healing,0.912945124370294,198
pyradiomics+CONCH (MEAN),Radiopathomics,Inflammatory,0.873015873015873,282
pyradiomics+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.9311252608131773,256
pyradiomics+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.9299682512664257,88
pyradiomics+CHIEF (MEAN),Radiopathomics,Wound Healing,0.8683421820684731,198
pyradiomics+CHIEF (MEAN),Radiopathomics,Inflammatory,0.7560568086883876,282
