"outcome_id","big_task","subtask","class_label","comparison","p_value","estimate","conf_low","conf_high","statistic","parameter","method","log2_p"
"phenotype | MolecularSubtype | Class 13","phenotype","MolecularSubtype","Class 13","pathomics vs radiopathomics",0.745479171248395,-0.0355105678635091,-0.318937565132841,0.247916429405823,-0.347860801113959,4,"Paired t-test",0.423760050837985
"phenotype | MolecularSubtype | Class 14","phenotype","MolecularSubtype","Class 14","radiomics vs pathomics",0.0125933948927565,-0.357777777777778,-0.588508716108256,-0.127046839447299,-4.30523261010133,4,"Paired t-test",6.31118893652576
"phenotype | MolecularSubtype | Class 14","phenotype","MolecularSubtype","Class 14","radiomics vs radiopathomics",0.0023810256452728,-0.386984126984127,-0.543903471245901,-0.230064782722353,-6.84708561719409,4,"Paired t-test",8.71420112515899
"phenotype | MolecularSubtype | Class 14","phenotype","MolecularSubtype","Class 14","pathomics vs radiopathomics",0.621454129110186,-0.0292063492063492,-0.180977120027885,0.122564421615186,-0.534291450558803,4,"Paired t-test",0.686280188159169
"phenotype | MolecularSubtype | Class 15","phenotype","MolecularSubtype","Class 15","radiomics vs pathomics",0.0017498084294879,-0.59484838690721,-0.817064010441912,-0.372632763372509,-7.43225820890769,4,"Paired t-test",9.15858730143664
"phenotype | MolecularSubtype | Class 15","phenotype","MolecularSubtype","Class 15","radiomics vs radiopathomics",0.0006765660483299,-0.628804430863254,-0.811971961071878,-0.44563690065463,-9.53138900878606,4,"Paired t-test",10.5294815984197
"phenotype | MolecularSubtype | Class 15","phenotype","MolecularSubtype","Class 15","pathomics vs radiopathomics",0.555020219235811,-0.0339560439560439,-0.180495174887125,0.112583086975037,-0.643357794157922,4,"Paired t-test",0.849387765478858
"phenotype | MolecularSubtype | Class 16","phenotype","MolecularSubtype","Class 16","radiomics vs pathomics",0.00044589533133392,-0.82983682983683,-1.04689165906145,-0.612782000612212,-10.6148129140635,4,"Paired t-test",11.1310072852949
"phenotype | MolecularSubtype | Class 16","phenotype","MolecularSubtype","Class 16","radiomics vs radiopathomics",0.000514447738544344,-0.811655011655012,-1.03192220897796,-0.591387814332061,-10.2308269756334,4,"Paired t-test",10.9246878547577
"phenotype | MolecularSubtype | Class 16","phenotype","MolecularSubtype","Class 16","pathomics vs radiopathomics",0.373900966300059,0.0181818181818182,-0.0322990019126872,0.0686626382763235,1,4,"Paired t-test",1.41927189522243
"phenotype | PrimaryDisease | Class 1","phenotype","PrimaryDisease","Class 1","radiomics vs pathomics",0.123372603585454,-0.023444010688297,-0.0568743850516246,0.00998636367503056,-1.94706191484145,4,"Paired t-test",3.01890603313544
"phenotype | PrimaryDisease | Class 1","phenotype","PrimaryDisease","Class 1","radiomics vs radiopathomics",0.0437483120177488,-0.0309911804996178,-0.0605763136257175,-0.00140604737351805,-2.90839696531758,4,"Paired t-test",4.51462883661497
"phenotype | PrimaryDisease | Class 1","phenotype","PrimaryDisease","Class 1","pathomics vs radiopathomics",0.177807808356221,-0.00754716981132075,-0.0203790071822312,0.00528466755958973,-1.63299316185545,4,"Paired t-test",2.49160941397365
"phenotype | PrimaryDisease | Class 2","phenotype","PrimaryDisease","Class 2","radiomics vs pathomics",0.00014597798672318,-0.360469037539555,-0.431342969463912,-0.289595105615198,-14.1211651121632,4,"Paired t-test",12.7419615504424
"phenotype | PrimaryDisease | Class 2","phenotype","PrimaryDisease","Class 2","radiomics vs radiopathomics",6.0136919682133e-05,-0.38326841490449,-0.443460790341364,-0.323076039467616,-17.6787127408599,4,"Paired t-test",14.0213895019875
"phenotype | PrimaryDisease | Class 2","phenotype","PrimaryDisease","Class 2","pathomics vs radiopathomics",0.0433226031911656,-0.0227993773649351,-0.044491466267887,-0.00110728846198311,-2.91817076583238,4,"Paired t-test",4.52873625481213
"phenotype | PrimaryDisease | Class 3","phenotype","PrimaryDisease","Class 3","radiomics vs pathomics",0.000505801645425065,-0.365367436169244,-0.464088507003087,-0.2666463653354,-10.2756445121845,4,"Paired t-test",10.9491406493045
"phenotype | PrimaryDisease | Class 3","phenotype","PrimaryDisease","Class 3","radiomics vs radiopathomics",0.000647126495607203,-0.380469997109762,-0.490029182657815,-0.270910811561709,-9.64185755731724,4,"Paired t-test",10.593664632173
"phenotype | PrimaryDisease | Class 3","phenotype","PrimaryDisease","Class 3","pathomics vs radiopathomics",0.0961728952800294,-0.0151025609405188,-0.0344559115647156,0.00425078968367805,-2.1666238685734,4,"Paired t-test",3.37822583793066
"phenotype | PrimaryDisease | Class 4","phenotype","PrimaryDisease","Class 4","radiomics vs pathomics",0.0222678617877235,-0.266545709192768,-0.470724639374719,-0.0623667790108169,-3.62451467906238,4,"Paired t-test",5.48889315595738
"phenotype | PrimaryDisease | Class 4","phenotype","PrimaryDisease","Class 4","radiomics vs radiopathomics",0.0229577815874118,-0.297402597402597,-0.527396078273807,-0.0674091165313875,-3.5901973512629,4,"Paired t-test",5.44487294878319
"phenotype | PrimaryDisease | Class 4","phenotype","PrimaryDisease","Class 4","pathomics vs radiopathomics",0.665564195542575,-0.0308568882098294,-0.214765993221889,0.15305221680223,-0.465841298211954,4,"Paired t-test",0.587350270035985
"phenotype | PrimaryDisease | Class 5","phenotype","PrimaryDisease","Class 5","radiomics vs pathomics",0.00416442302231581,-0.326387351778656,-0.480340793631172,-0.17243390992614,-5.88617282173162,4,"Paired t-test",7.90766765954075
"phenotype | PrimaryDisease | Class 5","phenotype","PrimaryDisease","Class 5","radiomics vs radiopathomics",0.0021897405469415,-0.34772068511199,-0.485598757799274,-0.209842612424705,-7.00203720097575,4,"Paired t-test",8.8350243435184
"phenotype | PrimaryDisease | Class 5","phenotype","PrimaryDisease","Class 5","pathomics vs radiopathomics",0.195137917586053,-0.0213333333333333,-0.0594470025464936,0.016780335879827,-1.55405737977162,4,"Paired t-test",2.35743395713391
"phenotype | PrimaryDisease | Class 6","phenotype","PrimaryDisease","Class 6","radiomics vs pathomics",0.10977584365427,-0.182084056294583,-0.428774665709896,0.0646065531207312,-2.04931346204,4,"Paired t-test",3.18736747291523
"phenotype | PrimaryDisease | Class 6","phenotype","PrimaryDisease","Class 6","radiomics vs radiopathomics",0.0891032094881081,-0.210805860805861,-0.47266714287999,0.0510554212682683,-2.23511813485948,4,"Paired t-test",3.48837879137001
"phenotype | PrimaryDisease | Class 6","phenotype","PrimaryDisease","Class 6","pathomics vs radiopathomics",0.40442721936951,-0.0287218045112782,-0.114350881838167,0.0569072728156111,-0.931278439955172,4,"Paired t-test",1.3060479959454
"phenotype | PrimaryDisease | Class 7","phenotype","PrimaryDisease","Class 7","radiomics vs pathomics",0.000566942081413353,-0.2731279248466,-0.349131963230037,-0.197123886463163,-9.97742628105447,4,"Paired t-test",10.7845110220288
"phenotype | PrimaryDisease | Class 7","phenotype","PrimaryDisease","Class 7","radiomics vs radiopathomics",0.000324474835677307,-0.28710158086223,-0.3563103620944,-0.21789279963006,-11.5176393036808,4,"Paired t-test",11.5896057837636
"phenotype | PrimaryDisease | Class 7","phenotype","PrimaryDisease","Class 7","pathomics vs radiopathomics",0.0708198642476574,-0.0139736560156299,-0.0298410911491586,0.00189377911789869,-2.44507625333431,4,"Paired t-test",3.81970211149943
"phenotype | PrimaryDisease | Class 8","phenotype","PrimaryDisease","Class 8","radiomics vs pathomics",0.0010569511534429,-0.131336249603447,-0.174303895334681,-0.0883686038722137,-8.48656893206185,4,"Paired t-test",9.885875579951
"phenotype | PrimaryDisease | Class 8","phenotype","PrimaryDisease","Class 8","radiomics vs radiopathomics",0.000439433860887315,-0.135182403449601,-0.170408583711263,-0.0999562231879393,-10.6547607370023,4,"Paired t-test",11.152066337617
"phenotype | PrimaryDisease | Class 8","phenotype","PrimaryDisease","Class 8","pathomics vs radiopathomics",0.373900966300059,-0.00384615384615385,-0.0145247888661454,0.00683248117383768,-1,4,"Paired t-test",1.41927189522243
"phenotype | PrimaryDisease | Class 9","phenotype","PrimaryDisease","Class 9","radiomics vs pathomics",0.000337972228503993,-0.610890800021235,-0.759698750797459,-0.462082849245011,-11.3979445498844,4,"Paired t-test",11.5308076757806
"phenotype | PrimaryDisease | Class 9","phenotype","PrimaryDisease","Class 9","radiomics vs radiopathomics",0.00026290308540589,-0.620414609545044,-0.762130647573402,-0.478698571516686,-12.1549200064417,4,"Paired t-test",11.8931813061608
"phenotype | PrimaryDisease | Class 9","phenotype","PrimaryDisease","Class 9","pathomics vs radiopathomics",0.373900966300059,-0.00952380952380954,-0.0359661438590266,0.0169185248114076,-1,4,"Paired t-test",1.41927189522243
"phenotype | PrimaryDisease | Class 10","phenotype","PrimaryDisease","Class 10","radiomics vs pathomics",0.0214224824977861,-0.120326964735633,-0.211398556869026,-0.0292553726022414,-3.6683361346558,4,"Paired t-test",5.54473051642229
"phenotype | PrimaryDisease | Class 10","phenotype","PrimaryDisease","Class 10","radiomics vs radiopathomics",0.00283866308389495,-0.145497076023392,-0.207346074728059,-0.0836480773187245,-6.53146620003814,4,"Paired t-test",8.4605726564656
"phenotype | PrimaryDisease | Class 10","phenotype","PrimaryDisease","Class 10","pathomics vs radiopathomics",0.092873307564561,-0.0251701112877583,-0.0569661376824043,0.00662591510688763,-2.19786684709596,4,"Paired t-test",3.42859217419576
"signature | AGE | Overall","signature","AGE","Overall","radiomics vs pathomics",0.93170627094232,0.0017757886603958,-0.0522758649731556,0.0558274422939472,0.0912160757827628,4,"Paired t-test",0.10205289134389
"signature | AGE | Overall","signature","AGE","Overall","radiomics vs radiopathomics",0.557910868790667,-0.0223297805450236,-0.119437941591777,0.0747783805017303,-0.638436658938708,4,"Paired t-test",0.841893437751851
"signature | AGE | Overall","signature","AGE","Overall","pathomics vs radiopathomics",0.402205946272955,-0.0241055692054194,-0.0955999159425662,0.0473887775317274,-0.936127018188687,4,"Paired t-test",1.31399368406685
"signature | GeneProgrames | Class 1","signature","GeneProgrames","Class 1","radiomics vs pathomics",8.47171469637095e-06,-0.410791702067858,-0.450185450811436,-0.371397953324281,-28.952324844386,4,"Paired t-test",16.8489145651051
"signature | GeneProgrames | Class 1","signature","GeneProgrames","Class 1","radiomics vs radiopathomics",1.33272499685412e-05,-0.413014544028352,-0.457394085482721,-0.368635002573983,-25.8387574896883,4,"Paired t-test",16.1952613583802
"signature | GeneProgrames | Class 1","signature","GeneProgrames","Class 1","pathomics vs radiopathomics",0.35372625485643,-0.00222284196049378,-0.00811096994975185,0.00366528602876429,-1.04814275302784,4,"Paired t-test",1.49929478977156
"signature | GeneProgrames | Class 2","signature","GeneProgrames","Class 2","radiomics vs pathomics",4.68792768726048e-05,-0.462292867239118,-0.530470982509271,-0.394114751968965,-18.8261403725809,4,"Paired t-test",14.3806901585238
"signature | GeneProgrames | Class 2","signature","GeneProgrames","Class 2","radiomics vs radiopathomics",1.92361017080997e-07,-0.458024578337495,-0.475046122836208,-0.441003033838782,-74.7100299083656,4,"Paired t-test",22.3096802048242
"signature | GeneProgrames | Class 2","signature","GeneProgrames","Class 2","pathomics vs radiopathomics",0.859891093906236,0.00426828890162296,-0.0587043696016404,0.0672409474048863,0.188187542183359,4,"Paired t-test",0.217774142317479
"signature | GeneProgrames | Class 3","signature","GeneProgrames","Class 3","radiomics vs pathomics",0.000751612873742097,-0.191593720482169,-0.248947687243953,-0.134239753720384,-9.27485015341252,4,"Paired t-test",10.377722601875
"signature | GeneProgrames | Class 3","signature","GeneProgrames","Class 3","radiomics vs radiopathomics",0.00023083537226677,-0.20377522416653,-0.248800641613342,-0.158749806719718,-12.5655853022592,4,"Paired t-test",12.0808480659485
"signature | GeneProgrames | Class 3","signature","GeneProgrames","Class 3","pathomics vs radiopathomics",0.201013674200912,-0.0121815036843615,-0.0343024625386807,0.00993945516995758,-1.52892451458047,4,"Paired t-test",2.31463444905118
"signature | GeneProgrames | Class 4","signature","GeneProgrames","Class 4","radiomics vs pathomics",7.55867036950295e-05,-0.404462060319269,-0.471763214898589,-0.337160905739948,-16.6856975133782,4,"Paired t-test",13.691507999254
"signature | GeneProgrames | Class 4","signature","GeneProgrames","Class 4","radiomics vs radiopathomics",6.92306161641435e-05,-0.398277620075861,-0.463093637158044,-0.333461602993677,-17.060535320573,4,"Paired t-test",13.8182302859962
"signature | GeneProgrames | Class 4","signature","GeneProgrames","Class 4","pathomics vs radiopathomics",0.0908817503007044,0.00618444024340798,-0.00155945041727529,0.0139283309040913,2.21732971119756,4,"Paired t-test",3.45986556965671
"signature | GeneProgrames | Class 5","signature","GeneProgrames","Class 5","radiomics vs pathomics",0.000371114397852056,-0.327753280867737,-0.409530475826404,-0.245976085909069,-11.1276620925635,4,"Paired t-test",11.3958484062509
"signature | GeneProgrames | Class 5","signature","GeneProgrames","Class 5","radiomics vs radiopathomics",0.000408876041304078,-0.324776480792733,-0.407853306851239,-0.241699654734227,-10.8540987079275,4,"Paired t-test",11.2560488510566
"signature | GeneProgrames | Class 5","signature","GeneProgrames","Class 5","pathomics vs radiopathomics",0.301355560997044,0.00297680007500358,-0.00399357701853217,0.00994717716853933,1.18572092822079,4,"Paired t-test",1.73046140740101
"signature | GeneProgrames | Class 6","signature","GeneProgrames","Class 6","radiomics vs pathomics",7.60092397097154e-05,-0.473519303771106,-0.55242255568067,-0.394616051861542,-16.662182119931,4,"Paired t-test",13.6834656707076
"signature | GeneProgrames | Class 6","signature","GeneProgrames","Class 6","radiomics vs radiopathomics",2.58529292830062e-05,-0.471679734212148,-0.531552988292866,-0.411806480131431,-21.8727528573743,4,"Paired t-test",15.239312719133
"signature | GeneProgrames | Class 6","signature","GeneProgrames","Class 6","pathomics vs radiopathomics",0.86907126507124,0.00183956955895737,-0.0272309174970362,0.0309100566149509,0.175692408861276,4,"Paired t-test",0.202453609965853
"signature | GeneProgrames | Class 7","signature","GeneProgrames","Class 7","radiomics vs pathomics",0.000195061775572362,-0.283077128661184,-0.342995481697613,-0.223158775624755,-13.1169845036787,4,"Paired t-test",12.3237812853292
"signature | GeneProgrames | Class 7","signature","GeneProgrames","Class 7","radiomics vs radiopathomics",0.000393086535579602,-0.27703116584173,-0.347181349775686,-0.206880981907773,-10.9645018908666,4,"Paired t-test",11.3128654316745
"signature | GeneProgrames | Class 7","signature","GeneProgrames","Class 7","pathomics vs radiopathomics",0.206124963358919,0.00604596281945444,-0.00508800076353727,0.0171799264024462,1.50766470099875,4,"Paired t-test",2.27840885768022
"signature | GeneProgrames | Class 8","signature","GeneProgrames","Class 8","radiomics vs pathomics",0.000152891907113597,-0.288194080223634,-0.345528136224946,-0.230860024222322,-13.9560167061193,4,"Paired t-test",12.6752003356766
